Id,Label,timeset,Degree,Weighted Degree,Eccentricity,closnesscentrality,harmonicclosnesscentrality,betweenesscentrality,modularity_class,pageranks,componentnumber,clustering,triangles,eigencentrality,Authority,Hub
37413076,,,12,21.008086,4,0.401826,0.433002,0.000876,1,0.00416,0,0.621212,41,0.19821,0.058506,0.058506
1955720384,,,28,43.037736,4,0.436183,0.479403,0.005702,1,0.008477,0,0.346561,131,0.416193,0.122043,0.122043
1059207842,,,32,43.005391,4,0.438356,0.485559,0.012176,1,0.008732,0,0.264113,131,0.422031,0.12326,0.12326
193700451,,,25,43,4,0.415584,0.459044,0.006986,1,0.008687,0,0.256667,77,0.334886,0.098003,0.098003
20644420,,,118,165,4,0.564103,0.649858,0.220923,0,0.041427,0,0.072867,503,1,0.284169,0.284169
24791335,,,7,11,5,0.360287,0.385133,0.00053,1,0.002647,0,0.142857,3,0.084894,0.024462,0.024462
482583016,,,15,22.016173,4,0.409779,0.443419,0.00132,1,0.004399,0,0.52381,55,0.265186,0.078241,0.078241
2459169938,,,30,51.010782,4,0.441656,0.486269,0.006316,1,0.009951,0,0.370115,161,0.460889,0.135453,0.135453
327926324,,,6,10,5,0.351648,0.375095,0.000039,1,0.002169,0,0.666667,10,0.095142,0.028463,0.028463
359236505,,,57,102.016173,4,0.5,0.554451,0.034329,1,0.020944,0,0.202381,323,0.716626,0.208888,0.208888
64980891,,,20,32,4,0.419048,0.457386,0.001492,1,0.006173,0,0.510526,97,0.360626,0.106313,0.106313
2831363550,,,30,46,4,0.473118,0.510417,0.012438,1,0.009325,0,0.363218,158,0.511337,0.148813,0.148813
556661091,,,23,26.008086,5,0.409779,0.452509,0.020295,2,0.00743,0,0.098814,25,0.195831,0.054275,0.054275
2785123074,,,2,2,5,0.340755,0.35857,0,2,0.000902,0,1,1,0.029764,0.008015,0.008015
130417544,,,59,70,4,0.499291,0.556345,0.079435,0,0.019307,0,0.100526,172,0.527564,0.1467,0.1467
198773386,,,14,18.008086,4,0.407407,0.440104,0.002786,1,0.003931,0,0.285714,26,0.213719,0.061823,0.061823
20051851,,,2,4,6,0.298305,0.31643,0.00004,2,0.001286,0,0,0,0.014052,0.003689,0.003689
2891662632,,,7,6.002695,5,0.410735,0.438163,0.00193,2,0.002006,0,0.380952,8,0.118351,0.032493,0.032493
14711982,,,52,89.002695,4,0.497878,0.549006,0.056867,3,0.019212,0,0.162142,215,0.589758,0.167752,0.167752
