Id,Label,timeset,Degree,Weighted Degree,Eccentricity,closnesscentrality,harmonicclosnesscentrality,betweenesscentrality,Authority,Hub,modularity_class,pageranks,componentnumber,clustering,triangles,eigencentrality
13857342,,,66,1.307278,4,0.439082,0.48559,0.056753,0.075865,0.075865,3,0.00179,0,0.048485,104,0.303024
413779729,,,25,37,5,0.392632,0.424129,0.007006,0.034121,0.034121,3,0.004961,0,0.1,30,0.137407
930620467,,,52,2.199461,5,0.424105,0.466644,0.021236,0.074631,0.074631,3,0.000921,0,0.077677,103,0.292551
23935607,,,31,48,4,0.396176,0.429736,0.00558,0.043528,0.043528,3,0.004209,0,0.178495,83,0.175367
9609622,,,26,29,5,0.383154,0.415393,0.009804,0.025168,0.025168,0,0.003669,0,0.107692,35,0.108272
779043331,,,27,39,5,0.437024,0.466421,0.007188,0.057615,0.057615,0,0.003978,0,0.296296,104,0.235379
27632906,,,2,2,5,0.343937,0.362846,0.000035,0.006492,0.006492,0,0.000403,0,0,0,0.027275
124948370,,,3,3,5,0.327912,0.346693,0.000054,0.004818,0.004818,4,0.000472,0,0,0,0.021358
65300245,,,3,4,5,0.318259,0.337757,0.002679,0.003806,0.003806,4,0.000886,0,0,0,0.017479
28976669,,,4,5,5,0.362136,0.3834,0.000601,0.009476,0.009476,0,0.000763,0,0.5,3,0.040013
121728542,,,8,11,5,0.376008,0.399374,0.000683,0.016896,0.016896,9,0.001172,0,0.392857,11,0.070305
2385999008,,,21,32.002695,4,0.431463,0.458445,0.00627,0.049904,0.049904,0,0.003212,0,0.295238,62,0.201851
144840737,,,25,33,5,0.439858,0.468208,0.002384,0.06197,0.06197,0,0.00309,0,0.383333,115,0.252148
22863660,,,6,10,5,0.34553,0.366175,0.000694,0.009136,0.009136,0,0.001088,0,0.266667,4,0.039127
416182191,,,1,1,6,0.277117,0.288271,0,0.000737,0.000737,0,0.000307,0,0,0,0.003613
29424561,,,13,14,5,0.385729,0.412936,0.001401,0.026891,0.026891,0,0.001453,0,0.24359,19,0.108232
63070517,,,5,6,5,0.368942,0.391801,0.000164,0.013531,0.013531,4,0.000798,0,0.6,6,0.055885
2570427830,,,11,12,5,0.424587,0.448548,0.000566,0.038843,0.038843,0,0.001292,0,0.672727,37,0.159221
240049848,,,5,7,5,0.31637,0.329178,0.001188,0.00442,0.00442,0,0.001009,0,0.4,4,0.019229
152992187,,,8,8.002695,5,0.397655,0.423727,0.002328,0.022717,0.022717,4,0.001125,0,0.321429,9,0.094745
20644420,,,197,280,4,0.53592,0.61126,0.162274,0.252761,0.252761,1,0.027275,0,0.050969,984,1
37659338,,,6,4.005391,5,0.342359,0.358914,0.000456,0.009147,0.009147,0,0.00074,0,0.2,3,0.037782
1103294161,,,9,9.002695,5,0.413296,0.437265,0.001079,0.03084,0.03084,0,0.001032,0,0.555556,20,0.126901
22605785,,,1,1,6,0.277117,0.288271,0,0.000737,0.000737,0,0.000307,0,0,0,0.003613
1333946204,,,4,4.002695,5,0.324066,0.339366,0.000893,0.003075,0.003075,0,0.000844,0,0.333333,2,0.014168
151412447,,,10,11.002695,5,0.416295,0.440617,0.002921,0.032939,0.032939,0,0.001284,0,0.533333,24,0.135431
167221856,,,12,15,5,0.371329,0.396649,0.001523,0.014776,0.014776,3,0.001747,0,0.181818,12,0.064536
14707553,,,15,22,5,0.37753,0.403954,0.002397,0.022885,0.022885,3,0.00201,0,0.171429,18,0.094957
2330373110,,,3,3,5,0.347623,0.367203,0.000053,0.008075,0.008075,0,0.000479,0,0.333333,1,0.034173
37413076,,,17,31.008086,4,0.403461,0.430295,0.000651,0.050276,0.050276,2,0.002289,0,0.492647,67,0.189656
1955720384,,,40,58.053908,4,0.430716,0.466041,0.005305,0.093334,0.093334,2,0.00437,0,0.265385,207,0.355068
1059207842,,,50,69.005391,4,0.434732,0.473749,0.008832,0.103343,0.103343,2,0.005298,0,0.207347,254,0.394408
193700451,,,37,65,4,0.406983,0.442918,0.004906,0.078482,0.078482,2,0.004857,0,0.235736,157,0.297127
24791335,,,12,21,5,0.3549,0.376251,0.000436,0.022613,0.022613,2,0.001788,0,0.19697,13,0.086137
482583016,,,16,24.016173,4,0.394918,0.421805,0.000531,0.049783,0.049783,2,0.00182,0,0.516667,62,0.186864
2710541450,,,101,162.008086,4,0.466542,0.522676,0.054701,0.142545,0.142545,3,0.013864,0,0.077228,390,0.557983
99233470,,,98,152,4,0.473651,0.52681,0.053034,0.150013,0.150013,2,0.013683,0,0.087103,414,0.584733
157996080,,,39,64.002695,5,0.399786,0.437265,0.002753,0.075698,0.075698,2,0.004781,0,0.187584,139,0.288197
2459169938,,,43,71.013477,4,0.430965,0.46727,0.006913,0.101718,0.101718,2,0.005339,0,0.273533,247,0.384865
327926324,,,8,13,5,0.354058,0.374598,0.000019,0.022704,0.022704,2,0.001062,0,0.607143,17,0.084666
376679416,,,38,57,4,0.452945,0.483914,0.006436,0.097696,0.097696,2,0.00461,0,0.244666,172,0.377575
359236505,,,97,173.018868,4,0.490467,0.537534,0.036555,0.185784,0.185784,2,0.013432,0,0.144545,673,0.710749
64980891,,,28,44,4,0.40368,0.435657,0.000822,0.080897,0.080897,2,0.003181,0,0.449735,170,0.302433
27225245,,,30,53.005391,5,0.382564,0.416309,0.00371,0.062427,0.062427,2,0.00411,0,0.257471,112,0.23438
2831363550,,,44,63.005391,4,0.45599,0.489388,0.004527,0.121445,0.121445,2,0.004736,0,0.302326,286,0.46329
556661091,,,40,48.016173,5,0.419101,0.456591,0.012383,0.058638,0.058638,4,0.00421,0,0.1,78,0.236387
23411203,,,28,53,4,0.436768,0.466711,0.004189,0.080126,0.080126,3,0.004084,0,0.312169,118,0.306971
130417544,,,99,118,4,0.485361,0.535411,0.042617,0.145915,0.145915,0,0.011569,0,0.086374,419,0.584237
198773386,,,20,26.010782,5,0.398292,0.426765,0.001696,0.047789,0.047789,6,0.002171,0,0.215789,41,0.183363
20051851,,,3,6,6,0.317988,0.333289,0.000025,0.003757,0.003757,4,0.000716,0,0,0,0.015798
22116112,,,18,26,5,0.388744,0.417158,0.001553,0.030685,0.030685,4,0.002249,0,0.228758,35,0.125659
33134609,,,9,11.002695,5,0.392425,0.416153,0.000702,0.022412,0.022412,4,0.001088,0,0.333333,12,0.091495
232728981,,,9,13,5,0.384338,0.410031,0.000692,0.020967,0.020967,8,0.001261,0,0.166667,6,0.082984
397153813,,,18,35,5,0.379837,0.407596,0.001682,0.035267,0.035267,4,0.002799,0,0.202614,31,0.138105
3236121,,,11,17,5,0.352219,0.372989,0.001169,0.010498,0.010498,4,0.0017,0,0.145455,8,0.045853
270294818,,,9,13,5,0.350235,0.370085,0.002102,0.010677,0.010677,8,0.001356,0,0.194444,7,0.045233
2891662632,,,12,13.002695,5,0.420993,0.44609,0.002319,0.036914,0.036914,0,0.001421,0,0.318182,21,0.149063
